title,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Cursed,2005-02-25,35000000,19300000,99,2.6737,5.4,722,False,Wes Craven,Christina Ricci,-15700000,-0.8134715025906736,Kalis Productions GmbH & Co. Zweite KG,Horror,Comedy,
Stomp the Yard,2007-05-16,13000000,75511123,114,2.6726,7.1,475,True,Sylvain White,Columbus Short,62511123,0.8278399329327946,Screen Gems,Drama,Music,
Mafia Mamma,2023-04-13,41000000,3900000,101,2.6725,6.1,272,False,Catherine Hardwicke,Toni Collette,-37100000,-9.512820512820513,Idea(L),Comedy,Crime,Action
Marauders,2016-07-01,15000000,1616004,107,2.6723,5.8,668,False,Steven C. Miller,Bruce Willis,-13383996,-8.282155242189994,Grindstone Entertainment Group,Action,Crime,Thriller
The Painted Veil,2006-12-09,19400000,26910847,125,2.672,7.2,1196,False,John Curran,Edward Norton,7510847,0.27910110001368593,Emotion Pictures,Romance,Drama,
Under the Tuscan Sun,2003-09-20,18000000,58878723,113,2.6715,6.9,891,False,Audrey Wells,Diane Lane,40878723,0.6942868478991978,Touchstone Pictures,Romance,Comedy,
The Man with the Iron Heart,2017-05-25,32679734,4412639,120,2.6707,6.6,784,False,Cédric Jimenez,Jason Clarke,-28267095,-6.405938713771962,Légende Films,War,Action,History
High Life,2018-09-26,8933400,2133033,113,2.6706,5.7,1137,False,Claire Denis,Robert Pattinson,-6800367,-3.1881208588896657,ARTE France Cinéma,Science Fiction,Drama,Mystery
Book Club: The Next Chapter,2023-05-11,20000000,27849137,108,2.6698,6.3,196,True,Bill Holderman,Diane Keaton,7849137,0.2818448916388325,Makeready,Comedy,Romance,
The Ghost Writer,2010-02-12,45000000,60300000,128,2.6694,6.8,2289,False,Roman Polanski,Ewan McGregor,15300000,0.2537313432835821,R.P. Productions,Thriller,Mystery,
TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,15000000,261656269,169,2.6685,8.2,447,False,Sam Wrench,Taylor Swift,246656269,0.9426728812677521,Taylor Swift Productions,Music,,
Crocodile Dundee in Los Angeles,2001-04-12,21150000,39438674,95,2.6682,5.2,626,True,Simon Wincer,Paul Hogan,18288674,0.46372436355238517,Bungalow Productions,Adventure,Comedy,
Elephant,2003-09-20,3000000,10000000,81,2.6661,7.064,1956,False,Gus Van Sant,Alex Frost,7000000,0.7,HBO Films,Crime,Drama,
Overcomer,2019-08-22,5000000,38026103,119,2.666,7.7,288,False,Alex Kendrick,Alex Kendrick,33026103,0.8685113749363168,Kendrick Brothers,Drama,,
The Wrestler,2008-09-07,6000000,44734660,109,2.6647,7.53,3754,False,Darren Aronofsky,Mickey Rourke,38734660,0.8658758108366086,Wild Bunch,Drama,Romance,
Race to Witch Mountain,2009-03-13,50000000,106387141,98,2.6617,5.798,1732,True,Andy Fickman,Dwayne Johnson,56387141,0.5300183882185536,Walt Disney Pictures,Adventure,Family,Fantasy
Arthur,2011-04-08,40000000,48147945,110,2.6607,5.5,750,False,Jason Winer,Russell Brand,8147945,0.1692272640088793,Warner Bros. Pictures,Comedy,Romance,
The Snowman,2017-08-24,35000000,43203413,119,2.6605,5.2,2276,False,Tomas Alfredson,Michael Fassbender,8203413,0.18987881813874288,Universal Pictures,Crime,Thriller,Mystery
Swept Away,2002-10-11,10000000,598645,89,2.6603,4.8,278,False,Guy Ritchie,Madonna,-9401355,-15.704390749108404,Codi S.p.a.,Comedy,Romance,
SuperFly,2018-06-13,16000000,20545116,107,2.6582,6.7,384,False,Director X.,Trevor Jackson,4545116,0.22122610551334926,Columbia Pictures,Action,Crime,
The Life of David Gale,2003-02-21,50000000,38955598,130,2.6573,7.439,2068,False,Alan Parker,Kevin Spacey,-11044402,-0.28351257757614196,Mikona Productions,Drama,Thriller,Crime
Hell Fest,2018-09-27,5500000,18160930,89,2.6561,5.7,834,False,Gregory Plotkin,Amy Forsyth,12660930,0.697152073159249,Valhalla Motion Pictures,Horror,Thriller,
The Duchess,2008-09-05,17759769,43306325,110,2.6554,6.989,1709,False,Saul Dibb,Keira Knightley,25546556,0.5899035764406239,Pathé Renn Productions,Drama,History,Romance
Shaun the Sheep Movie,2015-02-05,25000000,106209378,85,2.6553,7.0,1416,True,Mark Burton,Justin Fletcher,81209378,0.7646158891920072,StudioCanal,Family,Animation,Comedy
Sinister 2,2015-08-19,10000000,53329150,97,2.6538,5.883,2173,True,Ciarán Foy,James Ransone,43329150,0.8124852918150768,Tank Caterpillar,Horror,,
Girl with a Pearl Earring,2003-12-12,10500000,31500000,101,2.6524,6.6,1400,False,Peter Webber,Scarlett Johansson,21000000,0.6666666666666666,Archer Street Productions,Drama,Romance,
Femme Fatale,2002-04-30,35000000,16800000,114,2.6514,6.1,610,False,Brian De Palma,Rebecca Romijn,-18200000,-1.0833333333333333,Epsilon Motion Pictures,Mystery,Crime,Thriller
Jobs,2013-08-15,12000000,42100000,129,2.6494,6.123,2486,False,Joshua Michael Stern,Ashton Kutcher,30100000,0.7149643705463183,Open Road Films,Drama,History,
Rings,2017-02-01,25000000,83080890,102,2.6467,5.0,2523,True,F. Javier Gutiérrez,Matilda Lutz,58080890,0.6990884426009398,Paramount Pictures,Horror,,
Happily N'Ever After,2007-01-05,47000000,38100000,87,2.6467,5.0,430,True,Paul Bolger,George Carlin,-8900000,-0.2335958005249344,Lionsgate,Adventure,Animation,Comedy
The Danish Girl,2015-11-27,15000000,64200000,119,2.6431,7.568,5806,False,Tom Hooper,Eddie Redmayne,49200000,0.7663551401869159,Pretty Pictures,Drama,,
The Butler,2013-08-16,25000000,177313795,132,2.6421,7.333,2920,False,Lee Daniels,Forest Whitaker,152313795,0.8590070219860784,Follow Through Productions,Drama,,
Daddy's Little Girls,2007-02-14,10000000,31600000,100,2.6418,6.9,132,False,Tyler Perry,Gabrielle Union,21600000,0.6835443037974683,Tyler Perry Studios,Comedy,Drama,Romance
The Ides of March,2011-10-07,12500000,76338111,101,2.6418,6.673,2551,False,George Clooney,Ryan Gosling,63838111,0.8362547902187415,Appian Way,Drama,,
